Sr.,Station,day,month,year,CO,NO2,SO2,Temperature,Humudity,Noise,O3,Uray,AQI,PM2_5,PM10
12745,34,22,9,2022,0.67,38.07,1.71,33,59,117,46.88,4,63,43.86,83.84
12746,34,23,9,2022,0.79,50.11,1.86,33,65,120,70.77,3,2,40.26,101.21
12747,34,24,9,2022,1.55,33.53,1.29,33,78,125,24.09,5,41,49.77,89.96
12748,34,25,9,2022,0.65,38.67,1.56,35,59,110,18,6,164.75,32.97,69.32
12749,34,26,9,2022,0.71,27.53,2.56,33,68,112,25.74,7,86,38.47,93.32
12750,34,27,9,2022,1.09,58.37,2.49,35,63,117,33.06,6,84,43.75,78.85
12751,34,28,9,2022,0.93,30.83,2.14,35,65,110,28.54,4,67,40.2,98.15
12752,34,29,9,2022,0.98,88.2,2.31,35,76,110,80.2,8,108,25.2,30.25
12753,34,30,9,2022,0.98,47.99,2.67,35,72,110,28,6,3,63.99,177.1
12754,34,1,10,2022,1.03,50.7,2.78,35,73,110,57.44,4,106,45.53,123.08
12755,34,2,10,2022,1.64,73.78,1.65,35,57,112,31.73,7,107,47.76,128.36
12756,34,3,10,2022,1.33,40.23,2.27,35,64,117,32.67,6,106,27.52,55.09
12757,34,4,10,2022,1.45,48.2,2.38,35,68,110,36.38,4,101.11,25.28,68.2
12758,34,5,10,2022,0.51,29.83,2.07,36,62,110,31.29,3,163,21.29,46.94
12759,34,6,10,2022,0.2,45.07,2.83,37,59,110,58.2,8,166,48.2,92.2
12760,34,7,10,2022,0.81,61.46,2.36,34,57,90,13.55,6,245,24.68,49.15
12761,34,8,10,2022,0.53,34.17,1.65,32,64,85,27.11,4,117,49.61,70.63
12762,34,9,10,2022,0.61,31.12,1.03,33,68,110,68.5,7,168,35.9,67.98
12763,34,10,10,2022,0.83,49.68,1.78,35,69,112,81,6,207,45.1,104.38
12764,34,11,10,2022,0.98,87.2,1.69,34,63,117,80.2,4,156,22.25,28.48
12765,34,12,10,2022,0.92,83.27,1.13,35,67,110,74.56,3,210,20.21,26.23
12766,34,13,10,2022,2.51,55.19,1.19,35,64,117,29.86,4,290,18.65,32.92
12767,34,14,10,2022,2.15,33.16,2.13,35,68,110,20.53,6,211,29.68,39.76
12768,34,15,10,2022,2.58,60.2,2.96,36,62,110,32.2,7,196,20.2,35.3
12769,34,16,10,2022,0.9,20.58,2.18,35,59,110,14.2,7,85,48.2,128.2
12770,34,17,10,2022,1.52,50.66,2.14,35,67,112,26.66,8,51,45.07,82.06
12771,34,18,10,2022,0.77,23.28,1.26,36,78,110,3.46,4,46,40.1,112.79
12772,34,19,10,2022,1.13,46.29,1.56,36,54,110,43.25,5,227,22.63,83.56
12773,34,20,10,2022,1.22,38.63,1.29,36,66,112,42.97,6,95,41.01,78
12774,34,21,10,2022,0.94,55.06,1.72,36,57,105,52.52,5,184,39.64,106.5
12775,34,22,10,2022,1.63,38.24,2.07,36,75,106,16.41,7,114,47.77,86.82
12776,34,23,10,2022,0.7,43.39,1.9,36,73,108,17.81,4,212,29.9,66.84
12777,34,24,10,2022,0.7,31.73,1.03,36,72,109,19.22,3,208,36.39,88.03
12778,34,25,10,2022,1.06,62.93,2.38,35,75,106,25.13,4,113,41.82,71.68
12779,34,26,10,2022,1.26,43.24,2.07,36,72,108,25.95,5,110,24.59,50.51
12780,34,27,10,2022,1.17,113.51,2.83,36,73,110,79.08,6,109,39.95,82.3
12781,34,28,10,2022,1.14,56.15,2.36,35,72,110,29.66,5,121,63.13,192.07
12782,34,29,10,2022,1.01,48.96,1.65,36,75,89,50.28,7,109,45.21,120.36
12783,34,30,10,2022,1.57,69.98,1.03,37,72,96,28.17,8,195,44.48,119.36
12784,34,31,10,2022,1.26,43.24,1.78,35,76,108,25.95,4,217,24.59,50.51
12785,34,1,11,2022,0.61,22.15,1.03,35,79,116,11.22,5,63,22.13,25.19
12786,34,2,11,2022,0.56,35.68,1.01,35,59,114,25.03,7,163,14.589,79.46
12787,34,3,11,2022,1.16,43.24,1.24,35,65,127,25.95,6,166,35.59,50.51
12788,34,4,11,2022,0.89,67.76,2.46,36,78,139,10.84,4,215,4.73,9.98
12789,34,5,11,2022,0.68,35.3,2.79,37,69,116,21.69,5,117,37.74,60.83
12790,34,6,11,2022,0.66,34.68,2.12,37,51,120,67.16,6,168,31.91,64.69
12791,34,7,11,2022,0.83,53.33,2.06,35,49,125,73.17,8,207,43.82,102.3
12792,34,8,11,2022,0.61,22.15,2.91,35,52,110,11.22,5,102,22.13,25.19
12793,34,9,11,2022,0.89,84.57,2.04,35,54,112,73.95,6,210,16.31,22.01
12794,34,10,11,2022,2.52,56.02,2.01,34,56,117,24.76,4,233,18.41,31.8
12795,34,11,11,2022,2.39,37.77,2.91,33,53,110,11.25,7,211,17.16,25.21
12796,34,12,11,2022,2.52,56.02,2.04,33,51,110,24.76,8,196,18.41,31.8
12797,34,13,11,2022,0.77,23.28,2.01,34,54,110,3.46,6,85,40.1,112.79
12798,34,14,11,2022,1.46,49.57,2.27,33,58,110,23.44,5,64,52.81,86.73
12799,34,15,11,2022,1.17,113.51,2.38,34,56,112,79.08,6,66,39.95,82.3
12800,34,16,11,2022,1.26,43.24,2.07,33,51,116,25.95,4,102,24.59,50.51
12801,34,17,11,2022,0.88,80.82,2.83,34,49,118,85.58,6,95,27.79,33.58
12802,34,18,11,2022,0.72,35.83,2.36,32,56,116,61.35,5,114,150.46,159.56
12803,34,19,11,2022,1.02,55.68,1.65,33,59,123,61.78,6,113,48.1,119.2
12804,34,20,11,2022,1.65,40.8,1.78,32,54,116,50.22,8,177,83.17,176.16
12805,34,21,11,2022,1.37,65.3,1.26,32,51,113,58.27,9,202,90.33,179.59
12806,34,22,11,2022,1.59,69.85,1.73,31,56,114,21.65,4,196,88.86,174.58
12807,34,23,11,2022,1.32,63.38,1.86,32,57,90,62.96,6,126,61.04,139.07
12808,34,24,11,2022,0.8,57.81,1.69,31,53,112,67.24,5,87,34.87,87.64
12809,34,25,11,2022,0.8,57.81,0.67,31,58,110,67.24,4,87,34.87,87.64
12810,34,26,11,2022,1.21,62.06,0.59,31,76,110,61.49,3,135,66.69,152.27
12811,34,27,11,2022,1.17,58.64,0.97,31,73,112,58.17,5,127,67.87,140.21
12812,34,28,11,2022,0.91,57.56,1.97,32,72,117,67.06,6,109,24.55,113.42
12813,34,29,11,2022,0.78,52.05,1.99,32,75,112,79.59,7,101,53.34,101.32
12814,34,30,11,2022,0.87,59.05,1.13,32,72,110,77,5,120,65.99,121.28
12815,34,1,12,2022,0.87,59.05,2.16,31,76,110,77,6,120,65.99,121.28
12816,34,2,12,2022,0.77,55,2.91,30,79,115,71.44,8,150,75.05,126.44
12817,34,3,12,2022,0.79,55.57,1.35,31,59,114,70.05,5,171,81.29,139.18
12818,34,4,12,2022,0.65,49.17,1.24,31,65,90,73.58,7,194,88.25,142.12
12819,34,5,12,2022,0.67,46.1,1.69,31,78,112,78.1,8,219,102.66,150.81
12820,34,6,12,2022,0.68,45.65,1.75,30,58,92,78.13,4,177,113.27,134.89
12821,34,7,12,2022,0.68,48.61,2.38,30,59,89,85.46,5,182,84.73,131.16
12822,34,8,12,2022,0.83,49.68,2.07,30,57,96,81,6,103,45.1,104.38
12823,34,9,12,2022,0.83,53.33,2.83,30,72,108,73.17,8,102,43.82,102.3
12824,34,10,12,2022,0.86,55.08,2.36,30,75,116,71.72,4,108,50.91,110.69
12825,34,11,12,2022,1.13,57.68,1.65,30,72,103,73.54,6,212,93.5,165.25
12826,34,12,12,2022,1.13,57.68,1.03,31,76,108,73.54,8,212,93.5,134.67
12827,34,13,12,2022,0.54,29.3,1.78,32,79,109,77.82,5,89,53.86,89.24
12828,34,14,12,2022,0.43,35.53,1.69,32,59,110,77.31,6,77,21.08,53.45
12829,34,15,12,2022,0.63,38.09,2.06,31,65,112,72.7,7,81,35.61,80.76
12830,34,16,12,2022,0.58,31.12,1.59,32,59,120,65.65,8,74,39.17,74.25
12831,34,17,12,2022,0.54,34.19,1.97,33,65,116,69.28,4,74,37.44,73.63
12832,34,18,12,2022,0.64,34.19,1.99,34,78,110,63.98,6,92,38.87,92.21
12833,34,19,12,2022,0.7,48.59,1.13,33,59,110,64.45,7,93,44.22,92.94
12834,34,20,12,2022,0.5,27.7,1.19,32,68,112,64.51,8,77,43.28,76.89
12835,34,21,12,2022,0.69,40.35,2.13,32,63,127,70.89,4,102,47.56,102.16
12836,34,22,12,2022,0.69,40.35,2.96,32,65,139,70.89,6,102,47.56,102.16
12837,34,23,12,2022,0.43,36.9,2.2,30,76,116,74.31,5,93,45.14,93.68
12838,34,24,12,2022,0.76,53.09,1.55,27,72,112,68.52,6,193,87.9,159.83
12839,34,25,12,2022,0.7,52.16,1.82,27,59,117,75.54,8,78,49.67,105.42
12840,34,26,12,2022,0.54,43.83,1.63,26,48,118,82.59,9,115,64.54,110.04
12841,34,27,12,2022,0.99,60.46,1.28,27,49,116,77.17,4,194,88.47,164
12842,34,28,12,2022,1.11,58.37,1.76,28,51,123,71.07,6,138,71.46,124.31
12843,34,29,12,2022,1.11,58.37,0.67,28,52,110,71.07,5,138,71.46,142.31
12844,34,30,12,2022,0.68,51.99,1.29,31,53,114,48.88,6,93,50.35,93.48
12845,34,31,12,2022,0.51,34.04,0.89,30,56,127,63.37,4,117,65.01,106.77
12846,34,1,1,2023,1.2,60.88,2.51,28,57,139,69.95,7,212,100.24,185.77
12847,34,2,1,2023,1.02,61.12,1.65,27,54,116,73.29,8,64,86.94,154.87
12848,34,3,1,2023,1.02,61.12,2.56,27,51,112,73.29,4,113,86.94,154.87
12849,34,4,1,2023,0.42,43.04,2.68,26,53,117,81.06,6,110,60.16,104.39
12850,34,5,1,2023,0.68,51.99,1.96,24,62,120,48.88,4,109,50.35,93.48
12851,34,6,1,2023,1.2,58.79,1.48,24,66,125,70.05,7,189,34.65,47.65
12852,34,7,1,2023,2.08,107.64,1.64,26,64,110,66.1,4,118,119.02,175.2
12853,34,8,1,2023,1.22,40.93,1.79,28,64,112,58.23,6,195,91.32,162.1
12854,34,9,1,2023,1.22,40.93,2.56,31,67,117,58.23,4,85,78.82,65.55
12855,34,10,1,2023,1.57,56.85,2.87,30,70,90,25.3,6,65,91.12,152.12
12856,34,11,1,2023,1.57,56.85,2.59,30,71,85,35.12,4,85,96.06,152.12
12857,34,12,1,2023,0.42,34.55,2.49,31,72,110,44.84,8,250,78.82,149.03
12858,34,13,1,2023,0.35,29.43,1.58,29,48,112,55.77,7,115,46.25,96.54
12859,34,14,1,2023,0.47,38.5,1.39,25,55,117,74.23,6,56,68.91,124.31
12860,34,15,1,2023,0.47,38.5,2.19,25,64,110,74.23,7,88,68.91,124.31
12861,34,16,1,2023,1.02,57.04,2.04,25,68,117,72.72,8,92,66.58,141.48
12862,34,17,1,2023,1.02,57.04,8.7,34,42,125,72.72,5,128,66.58,141.48
12863,34,18,1,2023,0.67,51.18,9.07,33,40,110,86.4,4,103,49.37,103.97
12864,34,19,1,2023,0.79,56.92,2.91,34,75,120,89.62,8,113,58.2,119.46
12865,34,20,1,2023,0.63,43.56,1.32,32,75,118,74.31,7,136,70.74,121.64
12866,34,21,1,2023,0.58,41.38,1.3,33,76,110,70.54,6,113,93.84,143.87
12867,34,22,1,2023,0.48,43.43,2.19,32,47,116,69.44,8,146,73.78,118.47
12868,34,23,1,2023,0.59,45.63,2.79,32,67,110,67.59,8,104,125.1,175.06
12869,34,24,1,2023,0.64,46.29,2.68,31,65,116,64.16,6,349,184.29,247.82
12870,34,25,1,2023,0.64,37.41,2.14,32,65,123,60.76,7,203,169.09,144.03
12871,34,26,1,2023,0.5,36.73,2.51,31,49,110,74.13,6,130,59.66,103.97
12872,34,27,1,2023,0.53,42.74,2.45,31,42,110,85.26,4,148,74.42,125.2
12873,34,28,1,2023,0.49,50.62,2.69,31,51,89,91.8,5,205,91.37,135.91
12874,34,29,1,2023,0.59,45.63,2.88,31,56,96,67.59,8,104,125.1,175.06
12875,34,30,1,2023,0.73,40.25,1.54,32,78,110,57.27,7,108,72.62,137.6
12876,34,31,1,2023,0.52,47.18,2.3,33,70,112,79.78,6,189,86.96,129.57
12877,34,1,2,2023,0.86,49.02,2.78,33,62,120,92.01,8,104,52.44,106.03
12878,34,2,2,2023,1.06,50.98,1.85,34,66,125,89.99,5,111,51.65,116.59
12879,34,3,2,2023,1.09,52.26,2.14,35,51,110,84.97,7,108,47.62,112.01
12880,34,4,2,2023,1.17,59.18,2.16,34,54,110,75.88,6,125,59.48,137.65
12881,34,5,2,2023,1.17,59.18,2.64,33,52,110,75.88,5,125,59.48,137.65
12882,34,6,2,2023,1.07,61.1,2.9,33,59,112,31.35,4,126,103.64,175.1
12883,34,7,2,2023,0.78,38.03,1.66,34,62,117,54.2,8,139,71.54,151.58
12884,34,8,2,2023,0.78,38.03,1.02,33,62,110,54.2,6,139,71.54,151.58
12885,34,9,2,2023,1.77,61.46,1.02,34,60,110,68.2,5,189,86.96,125.2
12886,34,10,2,2023,1.18,40.74,1.2,33,55,112,50.85,3,165,54.2,149.25
12887,34,11,2,2023,1.07,61.1,1.35,34,54,117,31.35,2,126,103.64,175.1
12888,34,12,2,2023,0.68,30.01,1.66,32,54,100,67.75,4,124,62.47,135.21
12889,34,13,2,2023,1.08,43.19,2.12,33,67,110,85.24,4,134,57.57,150.96
12890,34,14,2,2023,1.37,54.97,1.65,29,61,110,65.53,5,146,69.64,108.1
12891,34,15,2,2023,1.22,48.51,2.56,32,58,110,66.04,8,144,65.05,144.2
12892,34,16,2,2023,1.16,43.07,2.68,32,54,110,64.55,7,132,57.18,148.29
12893,34,17,2,2023,1.39,48.04,2.46,32,56,112,55.28,6,165,73.23,144.2
12894,34,18,2,2023,1.62,55.49,2.79,32,59,110,52.53,4,159,70.64,144.2
12895,34,19,2,2023,1.43,53.65,2.12,33,57,110,70.46,5,163,78.99,120.2
12896,34,20,2,2023,1.49,49.83,2.68,32,49,112,62.15,6,152,54.45,130.2
12897,34,21,2,2023,1.49,49.83,2.68,29,48,110,62.15,6,242.51,105.54,220.31
12898,34,22,2,2023,1.05,47.97,2.46,31,48,110,43.31,7,151,70.07,86.91
12899,34,23,2,2023,1.01,43.32,2.79,33,49,112,46.92,8,132,58.19,148.08
12900,34,24,2,2023,1.01,43.32,2.12,33,50,117,46.92,4,131,56.41,147.62
12901,34,25,2,2023,1.29,48.98,1.86,34,52,110,68.36,5,136,64.38,154.02
12902,34,26,2,2023,0.96,44.2,2.06,33,53,112,54.09,7,166,79.93,160.5
12903,34,27,2,2023,0.9,45.29,2.91,33,55,110,68.24,4,121,56.11,132.63
12904,34,28,2,2023,0.66,36.07,1.59,34,47,110,76.37,2,76,27.49,75.74
12905,34,1,3,2023,0.66,36.07,2.86,30,58,116,76.37,8,76,27.49,75.74
12906,34,2,3,2023,0.87,41.91,1.37,31,69,112,65.69,7,123,55.9,134.81
12907,34,3,3,2023,1.32,53.41,1.14,35,66,117,57.89,6,141,67.01,161.2
12908,34,4,3,2023,1.23,41.64,1.19,36,65,120,67.71,5,121,61.79,131.02
12909,34,5,3,2023,1.06,38.05,1.17,38,55,125,73.17,8,118,52.3,126.84
12910,34,6,3,2023,0.82,42.25,1.24,33,66,110,75.5,7,188,36.51,88.55
12911,34,7,3,2023,0.67,43.02,1.54,35,69,112,71.7,9,189,46.2,89.57
12912,34,8,3,2023,0.69,45.29,1.25,31,55,117,46.57,7,166,39.39,59.62
12913,34,9,3,2023,0.49,34.04,1.78,38,54,114,66.69,8,167,35.83,59.17
12914,34,10,3,2023,0.92,42.85,1.67,31,82,110,68.53,4,121,55.62,121.36
12915,34,11,3,2023,0.84,41.29,1.24,30,54,110,68.12,5,68,44.2,57.6
12916,34,12,3,2023,1.06,45.86,1.86,30,53,110,69.2,6,80,51.56,80.24
12917,34,13,3,2023,1.06,45.86,2.06,30,49,120,69.2,5,80,31.56,80.24
12918,34,14,3,2023,0.87,36.49,2.91,30,48,125,69.83,6,78,51.2,78.44
12919,34,15,3,2023,1.01,43.32,2.04,30,46,110,46.92,5,150,58.19,148.08
12920,34,16,3,2023,0.66,45.5,2.01,30,52,112,68.97,3,72,43.03,64.64
12921,34,17,3,2023,0.66,45.5,2.27,31,53,117,68.97,6,72,43.03,64.64
12922,34,18,3,2023,0.42,40.59,2.38,32,58,110,55.83,8,75,39.51,57.69
12923,34,19,3,2023,0.42,40.59,2.07,32,59,110,55.83,6,66,39.51,57.69
12924,34,20,3,2023,0.47,35.15,2.83,31,58,110,50.18,7,141,72.16,97.57
12925,34,21,3,2023,0.45,32.57,2.36,32,54,110,54.6,8,99,59.99,89.95
12926,34,22,3,2023,0.5,36.3,1.65,33,57,112,26.62,4,103,59.2,94.28
12927,34,23,3,2023,0.66,45.5,1.58,31,52,110,68.97,9,72,52.24,64.64
12928,34,24,3,2023,1.66,31.25,1.57,35,51,116,93.8,8,93,54.21,84.1
12929,34,25,3,2023,1.66,61.23,3.58,32,47,110,78.87,8,93,19.64,41
12930,34,26,3,2023,0.76,25.27,3.87,35,49,115,51.95,9,58,42.2,52.28
12931,34,27,3,2023,0.98,45.29,4.01,36,51,114,68.24,5,121,56.11,132.63
12932,34,28,3,2023,1.16,43.07,3.88,35,44,111,64.55,6,132,57.18,148.29
12933,34,29,3,2023,0.73,40.25,2.55,36,49,110,57.27,5,98,52.28,87.2
12934,34,30,3,2023,1.22,48.51,3.74,38,51,118,66.04,8,104,65.05,102.2
12935,34,31,3,2023,0.87,41.91,4.12,37,52,115,65.69,7,123,55.9,134.81
12936,34,1,4,2023,0.62,42.27,3.87,35,48,110,35.34,9,53,26.65,50.66
12937,34,2,4,2023,0.76,25.27,2.21,33,49,117,51.95,5,58,42.2,52.28
12938,34,3,4,2023,0.88,24.28,2.08,35,55,119,28.2,4,85.2,28.18,29.1
12939,34,4,4,2023,0.62,40.59,1.99,37,52,120,55.83,8,75,39.51,57.69
12940,34,5,4,2023,1.17,59.18,2.28,32,49,115,75.88,9,95,59.48,89.2
12941,34,6,4,2023,1.22,40.93,3.46,35,51,110,58.23,5,98,51.32,78.2
12942,34,7,4,2023,0.96,44.2,7.86,32,55,112,54.09,8,96,59.93,90.5
12943,34,8,4,2023,0.68,38.99,9.67,32,49,111,63.65,9,123,51.64,102.31
12944,34,9,4,2023,1.66,61.23,11.69,31,45,110,54.2,5,93,49.64,81
12945,34,10,4,2023,0.79,34.04,2.59,33,44,113,66.69,6,125,53.64,101.25
12946,34,11,4,2023,0.9,36.3,14.25,32,48,114,26.62,7,103,59.2,94.28
12947,34,12,4,2023,0.97,35.15,25.07,31,58,110,50.18,8,101,72.16,97.57
12948,34,13,4,2023,1.22,40.93,5.14,32,55,112,58.23,9,98,51.32,78.2
12949,34,14,4,2023,0.85,32.57,4.61,30,56,111,54.6,6,99,59.99,89.95
12950,34,15,4,2023,0.85,32.57,3.75,32,52,110,44.6,7,89,49.99,79.95
12951,34,16,4,2023,0.82,42.57,5.45,33,51,116,34.2,8,99,59.99,77.95
12952,34,17,4,2023,0.45,32.57,3.25,32,49,115,54.6,8,99,59.99,89.95
12953,34,18,4,2023,1.16,43.07,1.76,33,50,110,64.55,9,92,57.18,88.2
12957,34,22,4,2023,0.85,32.57,2.56,31,49,112,44.6,8,89,49.99,79.95
12958,34,23,4,2023,0.92,30.59,2.22,30,58,116,35.83,5,86,49.51,77.69
12959,34,24,4,2023,0.52,33.04,1.58,33,51,110,41.06,6,93,56.16,84.39
12960,34,25,4,2023,0.96,44.2,2.01,31,48,109,54.09,7,96,59.93,90.5
12961,34,26,4,2023,0.7,49.2,2.79,33,57,110,46.15,5,81,51.29,85.01
12962,34,27,4,2023,0.85,32.57,2.12,34,53,115,44.6,6,89,49.99,79.95
12963,34,28,4,2023,0.85,32.57,2.06,33,54,116,44.6,4,89,29.99,39.95
12964,34,29,4,2023,0.52,33.04,2.83,34,57,118,41.06,7,93,56.16,84.39
12965,34,30,4,2023,0.5,32.05,2.36,33,51,120,40.05,5,95,55.15,83.1
12966,34,1,5,2023,0.85,32.57,1.65,34,52,125,44.6,4,89,29.99,39.95
12967,34,2,5,2023,1.02,38.26,1.03,32,56,110,32.58,6,101,58.2,89.28
12968,34,3,5,2023,0.96,35.58,1.01,33,53,112,40.19,4,61,36.24,48.21
12969,34,4,5,2023,0.5,32.05,1.24,32,58,168,40.05,6,95,55.15,83.1
12970,34,5,5,2023,0.85,32.57,1.31,32,57,112,44.6,5,89,29.99,39.95
12971,34,6,5,2023,1.66,61.23,1.67,31,59,110,78.87,7,93,19.64,41
12972,34,7,5,2023,0.9,19.61,1.24,32,58,110,54.26,6,55,17.23,30.53
12973,34,8,5,2023,0.96,35.58,1.31,31,53,110,40.19,5,61,36.24,48.21
12974,34,9,5,2023,1.09,35.34,1.67,31,51,112,70.79,4,91,58.2,88.65
12975,34,10,5,2023,1.09,15.34,1.54,31,49,110,70.79,8,71,18.6,42.95
12976,34,11,5,2023,1.25,26.14,1.79,31,56,110,63.59,7,64,17.75,42.49
12977,34,12,5,2023,1.43,27.51,2.31,32,59,112,53.42,6,71,25.25,52.54
12978,34,13,5,2023,1.7,29.17,2.68,32,54,92,43.48,8,85,24.59,52.84
12979,34,14,5,2023,0.85,32.57,1.48,33,51,89,44.6,4,89,29.99,39.95
12980,34,15,5,2023,0.78,32.48,1.64,32,56,96,15.37,5,98.64,47.52,78.9
12981,34,16,5,2023,0.85,32.57,1.79,29,57,110,44.6,8,99,59.99,79.95
12982,34,17,5,2023,0.87,41.91,2.56,31,53,115,65.69,7,123,55.9,134.81
12983,34,18,5,2023,1.06,45.86,2.87,33,58,112,69.2,5,82,51.56,80.24
12984,34,19,5,2023,0.66,45.5,2.59,33,51,117,68.97,6,102,53.03,84.64
12985,34,20,5,2023,0.85,32.57,2.49,34,54,120,44.6,4,86,31.25,39.95
12986,34,21,5,2023,1.66,61.23,2.16,33,53,110,78.87,6,93,19.64,41
12987,34,22,5,2023,0.88,31.58,2.12,33,52,110,44.01,9,98,45.08,84.25
12988,34,23,5,2023,0.88,31.58,2.68,34,56,116,44.01,4,98,45.08,84.25
12989,34,24,5,2023,0.89,35.15,2.56,33,55,123,45.52,6,97,46.55,85.15
12990,34,25,5,2023,0.5,36.3,2.38,35,54,116,26.62,8,105,59.2,94.28
12991,34,26,5,2023,0.99,32.85,2.07,35,57,113,46.58,5,92,48.15,86.15
12992,34,27,5,2023,0.99,35.45,2.83,31,51,114,47.89,6,91,54,90.78
12993,34,28,5,2023,0.99,21.15,2.36,34,52,90,48.6,8,90,55.15,91.45
12994,34,29,5,2023,0.56,22.85,1.65,31,56,112,45.28,5,85,56.89,85.85
12995,34,30,5,2023,0.78,29.58,2.23,30,68,110,41,6,83,52.58,82.45
12996,34,31,5,2023,1.02,51,1.99,34,78,110,47.92,6,92,51.2,91.95
12997,34,1,6,2023,0.56,35.88,2.9,31,59,114,32.58,4,91,45.58,59.2
12998,34,2,6,2023,0.58,63.55,1.66,31,68,110,35.65,5,91,54.88,56.65
12999,34,3,6,2023,0.76,58.37,1.02,31,63,112,18.94,6,101,20.57,71.87
13000,34,4,6,2023,0.12,51.24,1.02,32,65,111,16.12,6,64,2.08,6.76
13001,34,5,6,2023,1.48,50.58,1.2,32,76,110,33.57,5,74,35.48,68.99
13002,34,6,6,2023,0.86,51.2,1.09,35,56,116,35.57,6,104,54.35,84.25
13003,34,7,6,2023,1.58,32.71,2.03,29,57,115,25.07,8,69,29.91,68.79
13004,34,8,6,2023,1.1,75.45,2.06,32,54,110,52.5,9,127,42.93,101.86
13005,34,9,6,2023,0.99,44.39,2.15,32,51,113,22.32,4,119,39.64,49.08
13006,34,10,6,2023,1.17,51.17,2.15,32,53,114,45.1,6,78,39.36,87.83
13007,34,11,6,2023,2.65,34.14,1.24,32,51,110,25.1,5,67,54.36,105.94
13008,34,12,6,2023,0.8,41.19,1.54,35,29.37,110,32.22,7,81,25.21,41.21
13009,34,13,6,2023,0.49,37.47,1.79,35,31.17,110,57.82,6,99,41.38,101.01
13010,34,14,6,2023,0.61,45,1.65,36,34.43,110,35.46,5,59,45.15,70.12
13011,34,15,6,2023,0.83,26.42,2.56,37,34.02,112,45.74,4,99,54.47,58.75
13012,34,16,6,2023,0.56,27.04,2.68,37,30.77,110,37.71,8,97,37.43,85.64
13013,34,17,6,2023,0.88,27.04,2.46,35,32.56,110,37.71,6,93,47.43,85.64
13014,34,18,6,2023,0.99,45.15,2.79,35,39.4,115,47.11,5,83,55.55,85.64
13015,34,19,6,2023,0.76,58.37,2.12,35,48.56,116,18.94,3,101,20.57,71.87
13016,34,20,6,2023,0.85,53.57,2.68,34,36.88,118,44.6,2,89,30.14,79.95
13017,34,21,6,2023,1.1,75.45,2.56,33,73,116,52.5,4,127,42.93,101.86
13018,34,22,6,2023,0.5,36.3,2.67,33,74,123,26.62,4,104,59.2,94.28
13019,34,23,6,2023,1.1,75.45,2.98,34,59,116,52.5,6,127,42.93,101.86
13020,34,24,6,2023,1.43,73.95,0.98,33,58,113,41.4,5,93,51.33,93.61
13021,34,25,6,2023,0.88,32.57,2.68,34,64,116,44.6,8,89,29.99,39.95
13022,34,26,6,2023,0.78,32.48,2.78,33,74,113,15.37,8,98.64,47.52,78.9
13023,34,27,6,2023,0.12,51.24,1.85,34,76,114,16.12,9,64,16.54,14.56
13024,34,28,6,2023,1.17,51.17,1.79,32,72,90,45.1,5,78,39.36,87.83
13025,34,29,6,2023,1.58,32.71,1.96,33,78,85,25.07,6,69,29.91,68.79
13026,34,30,6,2023,1.2,31.36,2.36,34,66,129,28.1,5,79,36.74,39.36
13027,34,1,7,2023,0.76,58.37,1.65,32,63,120,18.94,8,101,24.86,71.87
13028,34,2,7,2023,0.36,51.02,1.03,33,57,125,41.26,7,68,23.59,24.56
13029,34,3,7,2023,0.8,41.19,1.01,32,56,110,32.22,9,81,25.21,41.21
13030,34,4,7,2023,0.99,45.15,4.01,36,52,114,47.11,5,83,55.55,85.64
13031,34,5,7,2023,0.85,32.57,3.88,35,51,111,44.6,4,89,29.99,39.95
13032,34,6,7,2023,1.1,75.45,2.55,36,47,110,52.5,8,127,42.93,101.86
13033,34,7,7,2023,0.62,42.27,3.74,38,49,118,35.34,4,53,26.65,50.66
13034,34,8,7,2023,1.17,59.18,4.12,37,51,115,75.88,8,125,59.48,137.65
13035,34,9,7,2023,0.92,30.59,3.87,35,44,110,35.83,9,86,49.51,77.69
13036,34,10,7,2023,0.68,51.99,2.21,33,49,117,48.88,5,93,50.35,93.48
13037,35,26,7,2022,1.19,42.66,2.68,29,52,123,31.27,4,69,41.19,64.21
13038,35,27,7,2022,0.83,24.84,2.56,31,56,110,7.15,4,72,13.33,9.08
13039,35,28,7,2022,0.93,37.82,0.97,29,71,114,35.87,4,98,48.12,71.86
13040,35,29,7,2022,0.82,36.68,1.97,32,79,127,32.71,7,104,5.55,87.81
13041,35,30,7,2022,0.69,23.46,1.99,33,80,139,35.71,8,102.2,48.57,54.2
13042,35,31,7,2022,0.54,21.64,1.13,34,81,116,35.71,4,91,3.43,54.2
13043,35,1,8,2022,0.54,22.72,1.19,33,82,112,33.1,6,63,3.43,28.15
13044,35,2,8,2022,0.74,30.51,2.13,33,79,117,35.89,4,102.2,12.04,31.78
13045,35,3,8,2022,0.73,72.1,2.96,33,75,120,34.93,7,91,3.61,31.24
13046,35,4,8,2022,0.91,22.72,2.18,35,76,125,45.82,5,102.2,15.78,32.2
13047,35,5,8,2022,1.93,71.94,1.24,32,56,110,25.01,5,122,49.24,132.96
13048,35,6,8,2022,1.38,92.2,1.31,33,57,110,32.2,8,120.2,60.2,120.2
13049,35,7,8,2022,1.75,65.52,1.67,34,54,120,38.66,7,190,87,108.28
13050,35,8,8,2022,1.75,65.52,1.29,34,51,125,48.06,5,116.52,87,119.52
